distance_km,duration_min,time_of_day,traffic_level,weather,demand_level,,day_of_week,ride_price
20.37,53.3,Morning,High,rainy,Medium,Standard,Weekend,139.96
6.37,19.2,Night,High,Clear,Medium,Premium,Weekday,60.39
22.79,45.6,Afternoon,Medium,Stormy,Medium,Premium,Weekend,232.44
2.51,9.3,Night,Medium,Clear,Medium,Economy,Weekday,13.42
41.01,105.9,Morning,High,Stormy,High,Economy,Weekday,286.72
12.39,34.4,Morning,High,Clear,Low,Standard,Weekend,48.94
30.15,,Night,Medium,Rainy,Low,Economy,Weekend,76.54
14.72,40.6,Evening,High,Clear,High,Economy,Weekday,75.81
23.88,30.8,Evening,Low,Clear,Low,Premium,Weekday,112.44
25.06,49.8,Morning,Medium,Rainy,Medium,Economy,Weekday,80.99
9.13,25.6,Morning,High,Clear,Low,Premium,Weekend,62.99
43.66,82.3,Evening,HIGH,Rainy,Medium,Premium,Weekend,334.92
35.11,44.6,Evening,Low,Clear,High,Premium,Weekend,319.86
42.34,78.3,Night,Medium,Stormy,Low,Standard,Weekend,193.79
40.37,75.6,Night,,Stormy,High,Standard,Weekend,372.08
27.31,53.5,Evening,Medium,Clear,Low,Standard,Weekday,87.26
41.56,77.6,Night,Medium,Clear,Medium,Premium,Weekend,265.35
4.89,8.5,Night,Low,Clear,High,Standard,Weekday,39.8
9.62,20,Afternoon,Medium,Stormy,Low,Standard,Weekday,52.97
2.99,8.9,Night,Medium,Clear,Medium,Economy,Weekday,13.93
15.31,43.2,Morning,High,Stormy,High,Standard,Weekend,178.43
18.1,36,Night,Medium,Rainy,High,Standard,Weekend,144.43
12.94,36,Night,High,Stormy,Low,Premium,Weekend,127.23
37.46,49.5,Evening,Low,Stormy,Low,Premium,Weekday,257.82
16.7,,Morning,Low,Rainy,Low,Premium,Weekday,100.44
13.36,18.6,Night,Low,Stormy,Medium,Premium,Weekday,128.78
24.88,32.8,Night,Low,Clear,Low,Premium,Weekday,117.44
7.2,20.9,Afternoon,High,Clear,High,Premium,Weekday,105
36.3,68.5,Night,Medium,Stormy,High,Standard,Weekday,337.32
4.28,8.4,Night,Low,Clear,Low,Premium,Weekend,31.24
44.42,84.4,Afternoon,Medium,Stormy,Low,Premium,Weekend,341.49
34.98,90.5,Evening,High,Clear,High,Economy,Weekend,164.35
9.74,27.8,Night,High,Clear,Medium,Standard,Weekend,50.26
1.24,7,Afternoon,High,Stormy,Low,Standard,Weekday,18.65
36.88,47.4,Morning,Low,Clear,Low,Standard,Weekday,100.82
32.1,62.3,Evening,Medium,Stormy,High,Premium,Weekend,505.8
33.08,63.3,Morning,Medium,Clear,Low,Premium,Weekday,172.54
34.94,65.8,Morning,Medium,Clear,Medium,Premium,Weekend,225.78
4.26,14.8,Afternoon,High,Rainy,High,Economy,Weekend,36.08
16.77,23.7,Night,Low,Rainy,Low,Premium,Weekend,100.81
6.1,18.9,Afternoon,High,Stormy,High,Economy,Weekday,56.64
38.98,100.9,Afternoon,High,Rainy,Low,Standard,Weekend,164.04
28.43,54.7,Afternoon,Medium,Stormy,Low,Premium,Weekend,224.99
15.56,43.2,Afternoon,High,Rainy,Low,Economy,Weekend,47.94
3.8,9.1,Evening,Medium,Clear,Medium,Economy,Weekday,15.25
14.68,20.6,Night,Low,Stormy,Medium,Premium,Weekday,139.95
15.31,29.8,Morning,Medium,Stormy,High,Standard,Weekend,154.31
33.1,44,Morning,Low,Clear,Low,Standard,Weekday,91.98
29.05,55.1,Night,Medium,Stormy,Low,Standard,Weekday,137.02
40.04,104.8,Morning,High,Stormy,Medium,Economy,Weekday,176.19
21.78,58,Night,High,Rainy,Low,Economy,Weekday,64
6.26,11.9,Morning,Low,Stormy,Medium,Economy,Weekday,30.51
32.38,43.8,Afternoon,Low,Clear,Low,Economy,Weekday,60.38
34.47,45.9,Morning,Low,Rainy,High,Standard,Weekday,229.41
25.7,50.9,Night,Medium,Rainy,Low,Premium,Weekday,165.6
34.92,66.1,Night,Medium,Clear,Low,Economy,Weekday,72.34
22.73,30.9,Night,Low,Clear,Medium,Economy,Weekday,54.54
24,62.8,Night,High,Rainy,Low,Standard,Weekend,104.26
19.81,38.2,Night,Medium,Stormy,Low,Premium,Weekend,161.44
2.12,7.3,Evening,Medium,Rainy,Medium,Premium,Weekday,35.49
5.75,14.1,Evening,Medium,Clear,High,Standard,Weekend,49.62
2.38,5.9,Morning,Low,Rainy,High,Standard,Weekend,33.18
29,38.5,Night,Low,Clear,Medium,Premium,Weekday,169.38
14.83,22.5,Morning,Low,Rainy,Medium,Economy,Weekday,46.19
23.38,31.7,Night,Low,Stormy,Medium,Premium,Weekday,209.7
40.93,53.3,Night,Low,Rainy,Medium,Standard,Weekend,167.48
11.97,34.3,Evening,High,Rainy,Medium,Economy,Weekend,48.13
19.06,52.6,Evening,,Clear,High,Economy,Weekday,95.82
34.24,44.9,Afternoon,Low,Clear,High,Standard,Weekday,189.14
11.07,24.3,Evening,Medium,Clear,Medium,Standard,Weekday,50.63
4.39,10.2,Afternoon,Low,Rainy,Low,Standard,Weekend,24.03
13.75,39.2,Afternoon,High,Stormy,Medium,Premium,Weekend,169.59
8.09,22.6,Afternoon,High,Clear,Low,Premium,Weekend,56.87
41.91,78.7,Afternoon,Medium,Clear,Medium,Economy,Weekend,107.22
36.56,94.4,Afternoon,High,Rainy,Medium,Standard,Weekday,192.67
28.87,36.9,Morning,HIGH,Clear,High,Economy,Weekday,106.81
39.34,74.7,Evening,Medium,Stormy,Low,Economy,Weekday,121.63
36.36,47.8,Afternoon,Low,Stormy,Low,Economy,Weekday,100.13
9.21,15.6,Night,Low,Clear,High,Economy,Weekend,42.58
40.27,74.9,Evening,Medium,Clear,High,Standard,Weekend,246.85
24.73,34.3,Evening,Low,Rainy,High,Economy,Weekday,113.75
36.53,95.3,Afternoon,High,Stormy,High,Standard,Weekday,386.8
40.43,,Morning,Low,Stormy,Low,Standard,Weekend,165.5
14.99,31.7,Afternoon,Medium,Clear,Low,Premium,Weekday,86.67
5.84,14.4,Morning,Medium,Rainy,Medium,Standard,Weekend,37.73
11.03,22.9,Night,Medium,Stormy,Medium,Premium,Weekday,123.73
19.79,28.2,Evening,Low,Stormy,High,Standard,Weekday,175.63
36.99,69.7,Night,Medium,Rainy,High,Standard,Weekday,274.56
38.87,72.1,Morning,Medium,Rainy,High,Standard,Weekday,286.14
1.31,6.1,Morning,Low,Stormy,Medium,Premium,Weekday,37.56
23.47,61.7,Night,,Stormy,Medium,Premium,Weekday,266.46
19.37,27.6,Morning,Low,Rainy,Medium,Economy,Weekday,57.43
10.77,22.5,Night,Medium,Stormy,Medium,Premium,Weekend,121.52
6.27,15.9,Evening,Medium,Clear,Medium,Premium,Weekend,55.89
15.86,21.7,Night,Low,Clear,Medium,Premium,Weekend,99.1
42.49,111.1,Evening,High,Rainy,Medium,Premium,Weekend,372.85
15.22,31.7,Night,Medium,Rainy,High,Economy,Weekend,83.87
23.83,45.2,Morning,Medium,Rainy,High,Premium,Weekday,304.06
31.93,61.2,Night,Medium,Clear,High,Standard,Weekday,200.39
17,25.4,Morning,Low,Stormy,High,Standard,Weekend,155.52
43.76,82.2,Night,Medium,Clear,Medium,Premium,Weekday,279.35
43.35,110.9,Night,High,Stormy,Low,Premium,Weekend,376.42
12.08,25.2,Afternoon,Medium,Clear,Medium,Standard,Weekend,53.58
22.88,44.7,Morning,Medium,Stormy,Low,Standard,Weekday,111.01
14.24,39.8,Afternoon,High,Clear,High,Economy,Weekday,74.02
13.53,,Morning,Medium,Rainy,Medium,Standard,Weekday,71.18
2.62,6.4,Afternoon,Low,Clear,High,Standard,Weekend,29.11
27.82,36,Evening,Low,Stormy,Medium,Premium,Weekday,242.74
23.12,31.7,Night,Low,Clear,High,Standard,Weekend,133.27
3.27,11.4,Morning,High,rainy,Low,Economy,Weekend,12.48
13.26,26.3,Morning,Medium,Clear,Low,Standard,Weekend,45.65
40.96,53.9,Night,Low,Rainy,Low,Premium,Weekday,224.14
11.54,32.9,Morning,High,Clear,Medium,Premium,Weekday,96.9
7.38,17.3,Morning,Medium,Rainy,Low,Standard,Weekend,35.6
22.54,,Afternoon,High,Rainy,Medium,Premium,Weekday,207.63
44.37,56.8,Morning,Low,Clear,Low,Economy,Weekday,79.96
11.65,18.4,Evening,Low,Clear,Low,Economy,Weekday,25.34
30.57,40.2,Evening,Low,Clear,Medium,Standard,Weekend,106.43
34.51,88.5,Night,High,Stormy,Medium,Standard,Weekend,227.28
11.46,31.9,Morning,High,Clear,Low,Standard,Weekday,45.77
33.04,43.1,Night,Low,Rainy,Medium,Premium,Weekend,228.33
17.18,47.1,Evening,High,Clear,Low,Economy,Weekday,43.46
28.82,36.9,Morning,Low,Stormy,Medium,Economy,Weekday,100.02
28.88,37.1,Morning,Low,Clear,High,Premium,Weekday,267.48
24.57,47,Night,Medium,Stormy,High,Economy,Weekday,156.85
4.97,15.2,Evening,High,Stormy,High,Standard,Weekend,72.2
37.75,49.5,Morning,Low,Clear,High,Standard,Weekend,207.3
15.11,20.9,Night,Low,Rainy,High,Standard,Weekend,109.77
9.21,26.9,Evening,High,Stormy,Low,Economy,Weekday,38.72
2.79,8.5,Night,Medium,Clear,High,Standard,Weekday,32.24
27,52.3,Afternoon,Medium,Clear,High,Premium,Weekday,286.6
Weekend,,,,,,,,
